COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.048 -8.452 4.994 -2.808 0.153 -0.092 -67.606 1903.460 -3979.757 -0.063 0.020 0.000 -0.01 0.5 -0.87 0.01
1 0.01 1 -0.029 -8.615 5.028 -2.533 0.397 -0.916 -37.625 1783.388 -4054.858 0.014 0.182 -0.036 -0.01 0.5 -0.87 0.01
1 0.02 2 0.077 -8.528 5.033 -3.113 -0.244 -0.793 -37.625 1783.388 -4054.858 -0.089 0.094 -0.043 -0.01 0.5 -0.87 0.01
1 0.03 3 -0.005 -8.624 5.033 -2.441 -0.183 -0.397 -82.596 1798.378 -3889.816 -0.004 0.187 -0.048 -0.01 0.5 -0.87 0.01
1 0.04 4 -0.072 -8.639 4.918 -2.686 0.427 -0.549 -82.596 1798.378 -3889.816 0.064 0.199 0.064 -0.01 0.5 -0.87 0.01
1 0.05 5 -0.043 -8.663 4.860 -2.228 -0.305 -0.427 -67.606 1753.408 -4159.790 0.036 0.222 0.119 -0.01 0.5 -0.87 0.01
1 0.06 6 -0.010 -8.634 4.999 -2.258 -0.153 -0.305 -112.727 1783.388 -4084.839 0.003 0.192 -0.022 -0.01 0.5 -0.87 0.01
1 0.07 7 -0.062 -8.567 4.913 -2.167 -0.427 0.946 -67.606 1828.359 -3934.787 0.056 0.124 0.063 -0.01 0.5 -0.87 0.01
1 0.08 8 -0.062 -8.476 4.975 -2.838 -0.671 0.885 -52.616 1723.427 -4039.868 0.056 0.033 0.000 -0.01 0.5 -0.87 0.01
1 0.09 9 -0.029 -8.557 4.971 -3.357 -1.129 1.160 -52.616 1723.427 -4039.868 0.022 0.113 0.003 -0.01 0.5 -0.87 0.01
1 0.10 10 -0.139 -8.605 4.971 -2.777 -1.190 0.732 -67.606 1828.359 -3979.757 0.132 0.159 0.000 -0.01 0.5 -0.87 0.01
1 0.11 11 -0.115 -8.447 5.066 -2.869 -1.709 1.434 -67.606 1828.359 -3979.757 0.106 -0.001 -0.100 -0.01 0.5 -0.87 0.01
1 0.12 12 -0.096 -8.399 5.004 -2.960 -1.984 1.465 22.186 1798.378 -3919.796 0.086 -0.051 -0.040 -0.01 0.5 -0.87 0.01
1 0.13 13 -0.072 -8.466 4.851 -3.845 -2.289 1.923 -112.727 1828.359 -4054.858 0.061 0.015 0.111 -0.01 0.5 -0.87 0.01
1 0.14 14 -0.148 -8.586 5.023 -4.181 -2.502 1.953 -52.616 1768.398 -4174.780 0.137 0.132 -0.066 -0.01 0.5 -0.87 0.01
1 0.15 15 -0.139 -8.576 4.971 -4.486 -3.296 2.472 -37.625 1828.359 -3934.787 0.127 0.120 -0.017 -0.01 0.5 -0.87 0.01
