COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.761 -9.802 0.967 -0.702 -1.038 1.312 124.269 3272.068 -3071.649 -0.219 0.069 0.038 -0.02 -0.67 0.74 0.06
1 0.01 1 0.503 -9.817 1.034 -1.556 -0.702 1.556 109.279 3362.010 -3026.678 0.040 0.083 -0.029 -0.02 -0.67 0.74 0.06
1 0.02 2 0.503 -9.898 0.919 -1.251 -0.854 1.099 124.269 3302.049 -2996.698 0.040 0.165 0.086 -0.02 -0.67 0.74 0.06
1 0.03 3 0.484 -9.836 0.953 -1.617 -1.221 1.434 124.269 3302.049 -2996.698 0.059 0.102 0.052 -0.02 -0.67 0.74 0.06
1 0.04 4 0.503 -9.908 1.025 -1.648 -0.854 1.038 139.259 3391.990 -3026.678 0.039 0.174 -0.021 -0.02 -0.67 0.74 0.06
1 0.05 5 0.560 -9.898 0.910 -1.678 -0.336 1.373 94.289 3227.098 -2996.698 -0.019 0.165 0.094 -0.02 -0.67 0.74 0.06
1 0.06 6 0.450 -9.841 1.020 -1.526 -0.671 1.160 34.178 3287.059 -2846.646 0.091 0.107 -0.017 -0.02 -0.67 0.74 0.06
1 0.07 7 0.632 -9.836 0.800 -1.312 -1.038 0.824 34.178 3287.059 -2846.646 -0.091 0.102 0.203 -0.02 -0.67 0.74 0.06
1 0.08 8 0.589 -9.783 0.852 -1.373 0.000 0.977 289.312 3317.039 -2981.708 -0.048 0.049 0.150 -0.02 -0.67 0.74 0.06
1 0.09 9 0.627 -9.951 0.886 -1.373 -0.031 1.495 49.168 3347.020 -2936.587 -0.086 0.217 0.115 -0.02 -0.67 0.74 0.06
1 0.10 10 0.570 -9.769 1.030 -1.404 0.183 1.221 49.168 3347.020 -2936.587 -0.028 0.035 -0.029 -0.02 -0.67 0.74 0.06
1 0.11 11 0.488 -9.807 0.891 -1.251 -0.305 1.373 64.308 3242.088 -2981.708 0.053 0.073 0.109 -0.02 -0.67 0.74 0.06
1 0.12 12 0.627 -9.826 0.919 -1.648 -0.061 1.068 64.308 3242.088 -2981.708 -0.086 0.092 0.080 -0.02 -0.67 0.74 0.06
1 0.13 13 0.469 -9.855 0.867 -1.312 -0.031 1.587 139.259 3362.010 -2981.708 0.073 0.121 0.132 -0.02 -0.67 0.74 0.06
1 0.14 14 0.532 -9.955 0.963 -1.343 0.305 0.916 139.259 3362.010 -2981.708 0.010 0.221 0.035 -0.02 -0.67 0.74 0.06
1 0.15 15 0.618 -9.850 0.967 -1.465 -0.366 0.977 199.220 3377.000 -3146.600 -0.076 0.116 0.030 -0.02 -0.67 0.74 0.06
1 0.16 16 0.488 -9.888 0.881 -0.549 0.031 0.793 64.308 3391.990 -3101.629 0.054 0.154 0.116 -0.02 -0.67 0.74 0.06
