COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.536 -9.079 3.424 2.258 0.031 1.831 224.854 419.876 3479.083 0.090 -0.034 0.126 0.01 -0.56 0.82 0.04
1 0.01 1 0.575 -9.184 3.467 2.441 0.488 0.977 224.854 419.876 3479.083 0.051 0.072 0.085 0.01 -0.56 0.82 0.04
1 0.02 2 0.718 -9.074 3.539 2.716 0.366 0.824 194.873 419.876 3614.146 -0.093 -0.037 0.016 0.01 -0.56 0.82 0.04
1 0.03 3 0.565 -9.132 3.438 1.984 0.519 1.251 194.873 419.876 3614.146 0.061 0.022 0.120 0.01 -0.56 0.82 0.04
1 0.04 4 0.575 -9.055 3.500 0.916 0.031 2.472 149.902 419.876 3644.126 0.051 -0.053 0.062 0.01 -0.56 0.82 0.04
1 0.05 5 0.479 -9.084 3.424 0.397 -0.946 3.143 149.902 419.876 3644.126 0.145 -0.024 0.139 0.01 -0.56 0.82 0.04
1 0.06 6 0.512 -9.012 3.496 -0.610 -0.763 2.960 59.961 374.906 3704.087 0.108 -0.096 0.067 0.01 -0.56 0.82 0.04
1 0.07 7 0.522 -9.070 3.477 0.275 -1.404 2.716 329.935 389.896 3689.097 0.097 -0.039 0.086 0.01 -0.56 0.82 0.04
1 0.08 8 0.594 -8.979 3.376 0.854 -1.007 2.686 329.935 389.896 3689.097 0.024 -0.130 0.186 0.01 -0.56 0.82 0.04
1 0.09 9 0.603 -9.218 3.453 1.373 -1.007 3.204 239.994 404.886 3704.087 0.014 0.109 0.108 0.01 -0.56 0.82 0.04
1 0.10 10 0.560 -9.060 3.477 1.587 -0.671 3.571 239.994 404.886 3704.087 0.055 -0.049 0.085 0.01 -0.56 0.82 0.04
1 0.11 11 0.589 -9.031 3.491 1.556 -0.793 3.113 119.922 344.925 3689.097 0.022 -0.077 0.074 0.01 -0.56 0.82 0.04
1 0.12 12 0.589 -9.151 3.405 1.862 -1.160 2.960 119.922 344.925 3689.097 0.019 0.043 0.162 0.01 -0.56 0.82 0.04
1 0.13 13 0.512 -9.204 3.419 0.854 -0.610 2.594 269.974 389.896 3584.015 0.095 0.096 0.148 0.01 -0.56 0.82 0.04
1 0.14 14 0.766 -9.103 3.390 1.678 -0.397 2.991 299.955 344.925 3539.044 -0.159 -0.005 0.176 0.01 -0.56 0.82 0.04
1 0.15 15 0.632 -9.055 3.443 1.740 -0.305 2.411 299.955 344.925 3539.044 -0.026 -0.053 0.123 0.01 -0.56 0.82 0.04
1 0.16 16 0.632 -9.314 3.558 1.892 -1.251 2.014 269.974 389.896 3584.015 -0.027 0.207 0.010 0.01 -0.56 0.82 0.04
1 0.17 17 0.627 -9.074 3.462 1.495 -0.977 2.441 269.974 389.896 3584.015 -0.022 -0.032 0.109 0.01 -0.56 0.82 0.04
1 0.18 18 0.651 -9.084 3.520 0.702 -1.221 2.533 194.873 314.945 3509.064 -0.047 -0.022 0.053 0.01 -0.56 0.82 0.04
1 0.19 19 0.646 -9.242 3.572 -0.061 -0.732 2.594 194.873 314.945 3509.064 -0.042 0.136 -0.000 0.01 -0.56 0.82 0.04
1 0.20 20 0.661 -9.156 3.486 -0.641 -0.793 2.197 149.902 389.896 3539.044 -0.056 0.050 0.085 0.01 -0.56 0.82 0.04
1 0.21 21 0.656 -9.113 3.553 -1.160 -0.702 2.563 149.902 464.847 3509.064 -0.051 0.006 0.018 0.01 -0.56 0.82 0.04
1 0.22 22 0.589 -9.132 3.582 -0.641 -0.580 2.319 149.902 464.847 3509.064 0.015 0.025 -0.013 0.01 -0.56 0.82 0.04
1 0.23 23 0.532 -9.132 3.520 0.092 -0.916 1.831 194.873 239.994 3644.126 0.072 0.025 0.049 0.01 -0.56 0.82 0.04
