COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.273 -9.659 2.198 -1.404 -0.427 1.312 -333.533 2719.229 -3312.092 0.072 0.110 -0.019 -0.05 0.62 -0.78 0.03
1 0.01 1 0.215 -9.568 2.136 -0.641 -0.031 1.099 -378.503 2824.310 -3087.089 0.129 0.019 0.044 -0.05 0.62 -0.78 0.03
1 0.02 2 0.417 -9.563 2.212 -0.793 -0.854 0.519 -273.422 2704.238 -3117.219 -0.073 0.014 -0.033 -0.05 0.62 -0.78 0.03
1 0.03 3 0.426 -9.534 2.260 -0.366 -1.251 1.007 -363.513 2719.229 -3102.079 -0.082 -0.014 -0.081 -0.05 0.62 -0.78 0.03
1 0.04 4 0.340 -9.654 2.212 -1.038 -0.671 1.160 -363.513 2719.229 -3102.079 0.005 0.105 -0.033 -0.05 0.62 -0.78 0.03
1 0.05 5 0.340 -9.572 2.318 -1.343 -0.641 0.488 -423.474 2629.287 -3087.089 0.005 0.024 -0.138 -0.05 0.62 -0.78 0.03
1 0.06 6 0.335 -9.606 2.284 -0.916 -0.702 0.671 -378.503 2674.258 -3267.122 0.010 0.058 -0.104 -0.05 0.62 -0.78 0.03
1 0.07 7 0.345 -9.654 2.184 -0.244 -0.732 0.519 -378.503 2674.258 -3267.122 0.000 0.106 -0.003 -0.05 0.62 -0.78 0.03
1 0.08 8 0.402 -9.649 2.236 -0.946 -0.671 0.458 -408.484 2644.277 -3132.209 -0.057 0.101 -0.055 -0.05 0.62 -0.78 0.03
1 0.09 9 0.345 -9.654 2.275 -1.129 -1.129 0.671 -378.503 2749.209 -3192.170 -0.000 0.106 -0.093 -0.05 0.62 -0.78 0.03
1 0.10 10 0.431 -9.740 2.251 -1.373 -0.671 0.397 -378.503 2824.310 -3192.170 -0.086 0.192 -0.069 -0.05 0.62 -0.78 0.03
1 0.11 11 0.335 -9.750 2.294 -1.282 -0.336 0.916 -378.503 2824.310 -3192.170 0.010 0.202 -0.112 -0.05 0.62 -0.78 0.03
1 0.12 12 0.316 -9.649 2.164 -1.740 -0.580 0.519 -498.425 2704.238 -3192.170 0.029 0.101 0.018 -0.05 0.62 -0.78 0.03
1 0.13 13 0.287 -9.563 2.217 -1.038 -0.793 1.099 -288.412 2644.277 -3177.180 0.058 0.015 -0.035 -0.05 0.62 -0.78 0.03
1 0.14 14 0.297 -9.649 2.251 -1.160 -1.495 0.977 -288.412 2644.277 -3177.180 0.048 0.101 -0.068 -0.05 0.62 -0.78 0.03
1 0.15 15 0.369 -9.654 2.294 -1.617 -1.312 0.610 -378.503 2584.316 -3192.170 -0.024 0.106 -0.111 -0.05 0.62 -0.78 0.03
1 0.16 16 0.335 -9.630 2.231 -1.221 -0.946 1.007 -408.484 2719.229 -3132.209 0.009 0.082 -0.048 -0.05 0.62 -0.78 0.03
