COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 -0.215 -7.628 6.048 0.793 -0.885 1.770 585.519 1511.016 -4270.568 -0.002 -0.100 -0.026 -0.05 -0.44 0.89 0.08
1 0.01 1 -0.215 -7.676 6.014 -0.122 -1.099 2.014 540.548 1586.117 -4195.467 -0.002 -0.052 0.008 -0.05 -0.44 0.89 0.08
1 0.02 2 -0.259 -7.710 6.058 0.275 -0.977 1.892 510.567 1511.016 -4090.535 0.042 -0.019 -0.035 -0.05 -0.44 0.89 0.08
1 0.03 3 -0.225 -7.681 6.000 0.153 -1.068 1.312 510.567 1511.016 -4090.535 0.008 -0.047 0.022 -0.05 -0.44 0.89 0.08
1 0.04 4 -0.268 -7.719 6.058 0.427 -0.305 1.373 450.606 1496.025 -4210.457 0.051 -0.009 -0.035 -0.05 -0.44 0.9 0.08
1 0.05 5 -0.311 -7.686 5.962 0.000 -1.099 2.106 600.509 1301.002 -4255.428 0.094 -0.042 0.061 -0.05 -0.44 0.9 0.08
1 0.06 6 -0.235 -7.623 6.029 0.488 -0.641 2.747 525.558 1451.055 -4360.509 0.017 -0.104 -0.006 -0.05 -0.44 0.89 0.08
1 0.07 7 -0.249 -7.595 6.010 0.092 -0.732 2.197 525.558 1451.055 -4360.509 0.031 -0.133 0.013 -0.05 -0.44 0.9 0.08
1 0.08 8 -0.273 -7.719 5.900 0.336 -0.793 2.014 540.548 1661.068 -4225.447 0.054 -0.008 0.124 -0.05 -0.44 0.9 0.08
1 0.09 9 -0.311 -7.767 6.024 0.610 -0.916 2.380 585.519 1511.016 -4015.434 0.092 0.039 -0.001 -0.05 -0.44 0.9 0.08
1 0.10 10 -0.283 -7.700 5.995 1.160 -1.129 2.350 585.519 1511.016 -4015.434 0.063 -0.028 0.027 -0.05 -0.44 0.89 0.08
1 0.11 11 -0.206 -7.671 5.957 1.617 -1.068 1.678 585.519 1361.113 -4225.447 -0.014 -0.057 0.065 -0.05 -0.44 0.89 0.08
1 0.12 12 -0.316 -7.643 5.986 1.678 -1.434 1.526 540.548 1436.064 -4120.516 0.096 -0.084 0.039 -0.05 -0.44 0.9 0.08
1 0.13 13 -0.311 -7.762 5.981 1.740 -1.007 1.801 525.558 1421.074 -4255.428 0.091 0.038 0.046 -0.05 -0.44 0.9 0.08
1 0.14 14 -0.206 -7.494 6.034 1.862 -1.099 1.770 525.558 1421.074 -4255.428 -0.014 -0.229 -0.005 -0.05 -0.44 0.9 0.08
1 0.15 15 -0.273 -7.676 6.048 1.251 -1.129 1.495 420.626 1496.025 -4075.545 0.053 -0.046 -0.018 -0.05 -0.44 0.9 0.08
1 0.16 16 -0.201 -7.667 5.952 1.465 -1.099 1.160 630.489 1376.104 -4180.477 -0.019 -0.055 0.078 -0.05 -0.44 0.9 0.08
1 0.17 17 -0.239 -7.657 5.895 1.129 -0.366 2.014 630.489 1376.104 -4180.477 0.020 -0.064 0.136 -0.05 -0.44 0.9 0.08
1 0.18 18 -0.144 -7.619 5.871 1.465 -0.275 1.556 630.489 1526.006 -4210.457 -0.076 -0.103 0.160 -0.05 -0.44 0.9 0.08
1 0.19 19 -0.359 -7.595 6.005 1.770 -0.641 2.563 465.597 1481.035 -4165.486 0.138 -0.125 0.028 -0.05 -0.44 0.9 0.08
1 0.20 20 -0.302 -7.566 5.957 1.282 -0.244 1.953 630.489 1421.074 -4210.457 0.080 -0.152 0.078 -0.05 -0.44 0.9 0.08
1 0.21 21 -0.359 -7.504 5.799 0.732 0.153 1.587 630.489 1421.074 -4210.457 0.137 -0.214 0.237 -0.05 -0.44 0.9 0.08
1 0.22 22 -0.220 -7.729 5.947 -0.336 -0.275 1.495 450.606 1345.973 -4105.525 -0.003 0.011 0.088 -0.05 -0.44 0.9 0.08
1 0.23 23 -0.254 -7.810 5.967 -0.305 -1.282 2.228 675.610 1421.074 -4210.457 0.031 0.092 0.068 -0.05 -0.44 0.9 0.08
1 0.24 24 -0.302 -7.901 5.943 0.977 -0.763 2.380 675.610 1421.074 -4210.457 0.078 0.182 0.091 -0.05 -0.44 0.9 0.08
1 0.25 25 -0.196 -7.805 5.971 2.441 -0.671 2.014 555.538 1451.055 -4180.477 -0.028 0.086 0.061 -0.05 -0.44 0.9 0.08
1 0.26 26 -0.235 -7.609 6.153 2.747 -0.366 2.686 555.538 1526.006 -4255.428 0.009 -0.107 -0.116 -0.05 -0.44 0.9 0.08
1 0.27 27 -0.292 -7.623 5.971 1.373 -0.275 1.953 540.548 1286.012 -4090.535 0.066 -0.090 0.069 -0.05 -0.43 0.9 0.08
1 0.28 28 -0.259 -7.547 5.967 0.092 -0.183 2.441 540.548 1286.012 -4090.535 0.031 -0.166 0.074 -0.05 -0.43 0.9 0.08
1 0.29 29 -0.134 -7.475 5.914 -0.061 -0.031 2.411 600.509 1526.006 -4255.428 -0.093 -0.238 0.127 -0.05 -0.43 0.9 0.08
1 0.30 30 -0.340 -7.437 5.923 -0.092 0.397 1.801 615.499 1481.035 -4195.467 0.112 -0.277 0.118 -0.05 -0.43 0.9 0.08
1 0.31 31 -0.201 -7.690 5.837 0.397 -0.366 1.740 615.499 1481.035 -4195.467 -0.027 -0.023 0.203 -0.05 -0.43 0.9 0.08
1 0.32 32 -0.120 -7.662 5.957 -0.031 -0.610 1.190 645.629 1631.087 -4165.486 -0.109 -0.051 0.084 -0.05 -0.43 0.9 0.08
1 0.33 33 -0.091 -7.571 6.058 -1.312 -0.153 1.495 555.538 1451.055 -4285.558 -0.137 -0.144 -0.018 -0.05 -0.43 0.9 0.08
1 0.34 34 -0.038 -7.738 6.072 -1.434 0.061 1.312 585.519 1406.084 -4165.486 -0.189 0.023 -0.034 -0.05 -0.44 0.9 0.08
1 0.35 35 -0.230 -7.738 6.010 -1.617 -0.031 0.854 585.519 1406.084 -4165.486 0.003 0.021 0.026 -0.05 -0.44 0.9 0.08
1 0.36 36 -0.096 -7.719 5.967 -0.946 0.244 1.221 585.519 1511.016 -4120.516 -0.131 0.000 0.067 -0.05 -0.44 0.9 0.08
1 0.37 37 -0.306 -7.676 5.971 0.214 0.031 0.793 645.629 1481.035 -4045.564 0.080 -0.043 0.062 -0.05 -0.44 0.9 0.08
